2018-09-20 13:23:48.1376 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a86eaefd' started. 

2018-09-20 13:23:48.1376 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9f21b474' started. 

2018-09-20 13:23:48.1686 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5f9c37a3' started. 

2018-09-20 13:23:48.1826 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #161f71a8' started. 

2018-09-20 13:23:48.1826 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e6c5c795' started. 

2018-09-20 13:23:48.1976 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ac5749e8' started. 

2018-09-20 13:23:48.2216 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3d50ec6b' started. 

2018-09-20 13:23:48.2216 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e707b9be' started. 

2018-09-20 13:23:48.2386 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d941c7f8' started. 

2018-09-20 13:23:48.2536 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2b49ec6d' started. 

2018-09-20 13:23:48.2646 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #30ff8e07' started. 

2018-09-20 13:23:48.2646 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7ab4de83' started. 

2018-09-20 13:23:48.2776 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #28db90f7' started. 

2018-09-20 13:23:48.3026 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f47c6cb4' started. 

2018-09-20 13:23:48.3396 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9ce0a74d' started. 

2018-09-20 13:23:48.3636 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #83ed30db' started. 

2018-09-20 13:23:48.3886 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cfbd7528' started. 

2018-09-20 13:23:48.4016 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ae593288' started. 

2018-09-20 13:23:48.4016 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8f6a89fa' started. 

2018-09-20 13:23:48.3886 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c0fad88c' started. 

2018-09-20 13:27:52.4935 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #35a6d7c4' started. 

2018-09-20 13:27:52.5075 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bc08d242' started. 

2018-09-20 13:27:52.4935 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f9ca2a1a' started. 

2018-09-20 13:27:52.5235 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8e5f4d0d' started. 

2018-09-20 13:27:52.5235 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #47ce91df' started. 

2018-09-20 13:27:52.5235 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e59d18eb' started. 

2018-09-20 13:27:52.5595 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5e8c9dd2' started. 

2018-09-20 13:27:52.5825 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7166493f' started. 

2018-09-20 13:27:52.5235 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e930e5bd' started. 

2018-09-20 13:27:52.6075 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bf1cc713' started. 

2018-09-20 13:27:52.6415 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fe073d92' started. 

2018-09-20 13:27:52.6505 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #be1ceeaa' started. 

2018-09-20 13:27:52.6175 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e53bdab9' started. 

2018-09-20 13:27:52.6736 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d7ea7d1b' started. 

2018-09-20 13:27:52.6906 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bd8854fb' started. 

2018-09-20 13:27:52.7196 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #dd4a1606' started. 

2018-09-20 13:27:52.7326 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b686dada' started. 

2018-09-20 13:27:52.7536 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0205cac3' started. 

2018-09-20 13:27:52.7776 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #56021a56' started. 

2018-09-20 13:27:52.8016 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #730fca7b' started. 

2018-09-20 13:32:56.8529 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4e19ae5c' started. 

2018-09-20 13:32:56.8529 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d1517ec1' started. 

2018-09-20 13:32:56.8850 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #89f9d5aa' started. 

2018-09-20 13:32:56.8529 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b5c2bb78' started. 

2018-09-20 13:32:56.8850 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c7e53324' started. 

2018-09-20 13:32:56.9480 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ad52e7f0' started. 

2018-09-20 13:32:56.9590 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8881cb0c' started. 

2018-09-20 13:32:56.9590 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bcc37b84' started. 

2018-09-20 13:32:56.9220 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #20f2eb71' started. 

2018-09-20 13:32:56.8970 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8b493615' started. 

2018-09-20 13:32:56.8850 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #297766be' started. 

2018-09-20 13:32:57.0110 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4c47014b' started. 

2018-09-20 13:32:57.0260 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8a39d29e' started. 

2018-09-20 13:32:57.0470 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3ab7fa0d' started. 

2018-09-20 13:32:57.0660 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4b531a66' started. 

2018-09-20 13:32:57.0860 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a14b6fd4' started. 

2018-09-20 13:32:57.0860 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fae9aa61' started. 

2018-09-20 13:32:57.1000 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ec46e0c4' started. 

2018-09-20 13:32:57.1000 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9fef1aaf' started. 

2018-09-20 13:32:57.1290 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d0e273d1' started. 

2018-09-20 13:35:24.9104 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #890ce288' started. 

2018-09-20 13:35:24.9104 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #acc8ae39' started. 

2018-09-20 13:35:24.9284 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ece13b21' started. 

2018-09-20 13:35:24.9104 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #622b1a7e' started. 

2018-09-20 13:35:24.9464 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c8dae527' started. 

2018-09-20 13:35:24.9464 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9386fba6' started. 

2018-09-20 13:35:24.9464 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #919418cd' started. 

2018-09-20 13:35:24.9754 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #771e10ca' started. 

2018-09-20 13:35:24.9884 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #08d38b92' started. 

2018-09-20 13:35:24.9884 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4a7ddf81' started. 

2018-09-20 13:35:25.0034 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b40d4854' started. 

2018-09-20 13:35:24.9884 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ef8af112' started. 

2018-09-20 13:35:25.0034 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ad2b8bae' started. 

2018-09-20 13:35:25.0394 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cd548ed5' started. 

2018-09-20 13:35:25.0394 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ac4bdd75' started. 

2018-09-20 13:35:25.0764 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #825def6c' started. 

2018-09-20 13:35:25.0524 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6dceac6a' started. 

2018-09-20 13:35:25.1094 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6fe5ac0a' started. 

2018-09-20 13:35:25.1164 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1678346a' started. 

2018-09-20 13:35:25.1094 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0a107861' started. 

2018-09-20 13:41:44.6991 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #90c3cbc4' started. 

2018-09-20 13:41:44.6751 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9b6222f0' started. 

2018-09-20 13:41:44.7291 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0256a60c' started. 

2018-09-20 13:41:44.7291 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bd077b84' started. 

2018-09-20 13:41:44.7431 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2f1b3127' started. 

2018-09-20 13:41:44.7431 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #71187930' started. 

2018-09-20 13:41:44.7431 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5b2e97fe' started. 

2018-09-20 13:41:44.7911 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2993c7f6' started. 

2018-09-20 13:41:44.7701 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8a1545d1' started. 

2018-09-20 13:41:44.8071 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #94b7ca3e' started. 

2018-09-20 13:41:44.8391 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d4e9a798' started. 

2018-09-20 13:41:44.8391 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3eda6a54' started. 

2018-09-20 13:41:44.8712 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6d48b606' started. 

2018-09-20 13:41:44.8391 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d3aa0146' started. 

2018-09-20 13:41:44.8822 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #22a4954f' started. 

2018-09-20 13:41:44.9132 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5362beda' started. 

2018-09-20 13:41:44.9362 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #22464aab' started. 

2018-09-20 13:41:44.9482 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2c66ff3b' started. 

2018-09-20 13:41:44.9482 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d5c1e66b' started. 

2018-09-20 13:41:44.9632 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #32cdf2ae' started. 

2018-09-20 13:43:28.6281 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5d5561bb' started. 

2018-09-20 13:43:28.6501 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #798a6b4b' started. 

2018-09-20 13:43:28.7001 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c0167760' started. 

2018-09-20 13:43:28.6741 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ca93a20d' started. 

2018-09-20 13:43:28.7241 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e5505304' started. 

2018-09-20 13:43:28.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ff37a6be' started. 

2018-09-20 13:43:28.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ef11f910' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f65753d3' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fd5a5c66' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7c3a3ef0' started. 

2018-09-20 13:43:28.7981 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #78a2b77a' started. 

2018-09-20 13:43:28.8321 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5d6c707f' started. 

2018-09-20 13:43:28.7981 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a27e3a16' started. 

2018-09-20 13:43:28.8321 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #53308bf4' started. 

2018-09-20 13:43:28.8781 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #069ad16d' started. 

