2018-09-20 13:23:47.7165 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:23:47.8185 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 13:27:52.1815 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:27:52.2505 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 13:32:56.5199 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:32:56.5859 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 13:35:24.5894 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:35:24.6634 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 13:41:44.2581 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:41:44.3351 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 13:43:28.2281 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 13:43:28.2961 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:35:16.6569 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:35:16.7279 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:36:41.2827 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:36:41.3457 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:38:59.7666 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:38:59.8416 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:40:14.8749 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:40:14.9429 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:41:06.8239 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:41:06.8919 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:51:53.0698 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:51:53.1408 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 14:52:37.6404 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 14:52:37.7064 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:02:50.4934 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:02:50.5585 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:06:25.4667 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:06:25.5357 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:07:21.7010 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:07:21.7730 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:10:09.4576 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:10:09.5286 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:11:46.0151 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:11:46.0801 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:13:35.4533 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:13:35.5193 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:14:33.0156 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:14:33.0916 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:16:00.9407 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:16:01.0157 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:17:12.8708 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:17:12.9408 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:23:59.7420 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

2018-09-20 15:23:59.8150 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Hangfire SQL objects installed. 

2018-09-20 15:30:23.8190 | INFO | Hangfire.SqlServer.SqlServerObjectsInstaller | Start installing Hangfire SQL objects... 

