2018-09-21 12:09:59.5331 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:10:39.5914 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:18:18.1111 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:28:02.3118 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:32:52.6634 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:43:06.1752 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:55:10.3391 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:57:41.1384 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-21 12:58:04.9921 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

