2018-09-21 12:09:59.9722 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:10:40.0724 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:18:18.5722 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:28:02.7779 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:32:53.1725 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:43:06.5833 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:55:10.7601 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:57:41.5125 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

2018-09-21 12:58:05.4881 | DEBUG | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. 

