2018-09-21 12:10:00.0012 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:10:40.0724 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:18:18.5822 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:28:02.7989 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:32:53.1725 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:43:06.6113 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:55:10.7901 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:57:41.5365 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

2018-09-21 12:58:05.5121 | DEBUG | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. 

