2018-09-21 12:09:59.7311 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3e2bb174' started. 

2018-09-21 12:09:59.7421 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #87c1f41e' started. 

2018-09-21 12:09:59.7421 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #35d30faf' started. 

2018-09-21 12:09:59.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #87f16b0c' started. 

2018-09-21 12:09:59.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #37099bca' started. 

2018-09-21 12:09:59.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #dd263a38' started. 

2018-09-21 12:09:59.7921 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7279e910' started. 

2018-09-21 12:09:59.8051 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #81ebdf58' started. 

2018-09-21 12:09:59.7921 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b6612e6e' started. 

2018-09-21 12:09:59.8051 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #12ca9245' started. 

2018-09-21 12:09:59.8051 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a88b19e0' started. 

2018-09-21 12:09:59.8521 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #315020fd' started. 

2018-09-21 12:09:59.8521 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9aad76e7' started. 

2018-09-21 12:09:59.8521 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1a06071f' started. 

2018-09-21 12:09:59.8871 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a2627143' started. 

2018-09-21 12:09:59.9111 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3cb3d643' started. 

2018-09-21 12:09:59.9331 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d6044a43' started. 

2018-09-21 12:09:59.9331 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2ad82d12' started. 

2018-09-21 12:09:59.9432 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c7b7cacd' started. 

2018-09-21 12:09:59.9432 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b8748655' started. 

2018-09-21 12:10:39.7814 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1a369064' started. 

