2018-10-03 10:48:34.6833 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:51:04.8269 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:51:36.3306 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:51:59.2849 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:52:15.9328 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:52:23.0562 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:53:37.2715 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 10:54:21.9850 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 11:06:09.0855 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 11:07:50.8033 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 11:25:40.9700 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-03 11:25:53.7717 | INFO | Web.Controllers.DataInputController | Web.Models.Json.schemaJson 

2018-10-03 11:41:29.6053 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-03 12:07:45.7144 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-03 12:08:52.9882 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-03 12:14:27.2384 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-03 12:15:23.9205 | TRACE | Web.Controllers.DataInputController | Json Get 

