2018-10-04 15:22:47.9312 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:22:47.9602 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:24:00.8914 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:24:00.9204 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:24:52.2143 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:24:52.2473 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:29:48.1322 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:29:48.1582 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:30:39.2361 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-04 15:31:43.8348 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:31:43.8588 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:32:05.6111 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:32:05.6161 | INFO | Web.Controllers.DataInputController | aaaaaa 

2018-10-04 15:32:41.0391 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-04 15:32:44.9113 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:32:44.9113 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:36:18.7186 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:36:18.7456 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:36:30.6912 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:36:30.6912 | INFO | Web.Controllers.DataInputController | aaaaaa 

2018-10-04 15:36:30.7843 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:36:30.7843 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:37:01.5640 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:37:12.8187 | INFO | Web.Controllers.DataInputController | aaaaaa 

2018-10-04 15:37:19.2320 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:37:19.2380 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:39:07.8582 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:39:07.8832 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:40:36.0763 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-04 15:41:31.2944 | TRACE | Web.Controllers.DataInputController | Json Get 

2018-10-04 15:41:39.3269 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:41:39.3269 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:41:50.7766 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:41:50.7766 | INFO | Web.Controllers.DataInputController | ddddd 

2018-10-04 15:44:35.1720 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:44:35.1980 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:44:39.2692 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:44:39.2762 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:45:02.2575 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:45:02.8355 | INFO | Web.Controllers.DataInputController | AAA 

2018-10-04 15:49:23.0384 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:49:23.0644 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:49:33.2560 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:49:33.7070 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:49:40.4844 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:49:40.4844 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:54:05.0006 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:54:05.0276 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:54:13.9261 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:54:13.9311 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:54:14.0051 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:54:14.0091 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:54:17.2213 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:54:17.2263 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:54:17.2903 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:54:17.2903 | INFO | Web.Controllers.DataInputController | AAAddddd 

2018-10-04 15:54:21.4265 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:54:21.4265 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:54:21.4975 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:54:21.4975 | INFO | Web.Controllers.DataInputController |  

2018-10-04 15:54:26.9558 | TRACE | Web.Controllers.DataInputController | post  Form test 

2018-10-04 15:54:26.9598 | INFO | Web.Controllers.DataInputController | ttttt 

2018-10-04 15:54:27.0158 | TRACE | Web.Controllers.DataInputController | Get test In 

2018-10-04 15:54:27.0208 | INFO | Web.Controllers.DataInputController | ttttt 

